"level1_id";"level1_nazev";"level2_id";"level2_nazev";"level3_id";"level3_nazev";"level4_id";"level4_nazev";"level5_id";"level5_nazev";"level6_id";"level6_nazev";"mista_sluz";"mista_prac"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007656";"Ředitel sekce ÚP";"12007686";"Odbor kontrolní II";"12007688";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007656";"Ředitel sekce ÚP";"12007686";"Odbor kontrolní II";"12007687";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007656";"Ředitel sekce ÚP";"12007675";"Odbor vyměřovací III";"12007679";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007656";"Ředitel sekce ÚP";"12007675";"Odbor vyměřovací III";"12007678";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007656";"Ředitel sekce ÚP";"12007675";"Odbor vyměřovací III";"12007677";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007656";"Ředitel sekce ÚP";"12007675";"Odbor vyměřovací III";"12007676";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007607";"Oddělení majetkových daní";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007608";"Oddělení registrační";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12010882";"Odd.sekret.a provoz.zabezp.";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007614";"Odbor vyměřovací II";"12010883";"Oddělení vyměřovací V";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007614";"Odbor vyměřovací II";"12007616";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007614";"Odbor vyměřovací II";"12007615";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007614";"Odbor vyměřovací II";"12007618";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007614";"Odbor vyměřovací II";"12007617";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007609";"Oddělení vymáhací";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007610";"Odbor vyměřovací I";"12007611";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007610";"Odbor vyměřovací I";"12007613";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007610";"Odbor vyměřovací I";"12007612";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007619";"Odbor kontrolní";"12007624";"Oddělení kontrolní V";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007619";"Odbor kontrolní";"12007623";"Oddělení kontrolní IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007619";"Odbor kontrolní";"12007622";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007619";"Odbor kontrolní";"12007621";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007606";"Ředitel sekce ÚP";"12007619";"Odbor kontrolní";"12007620";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12010881";"Odd.sekret.a provoz.zabezp.";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007600";"Odbor kontrolní";"12007604";"Oddělení kontrolní IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007600";"Odbor kontrolní";"12007603";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007600";"Odbor kontrolní";"12007602";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007600";"Odbor kontrolní";"12007601";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007595";"Odbor vyměřovací II";"12007596";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007595";"Odbor vyměřovací II";"12007597";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007595";"Odbor vyměřovací II";"12007598";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007595";"Odbor vyměřovací II";"12007599";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007595";"Odbor vyměřovací II";"12011280";"Oddělení vyměřovací V";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007591";"Odbor vyměřovací I";"12007592";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007591";"Odbor vyměřovací I";"12007593";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007591";"Odbor vyměřovací I";"12007594";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007588";"Oddělení majetkových daní";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007589";"Oddělení registrační";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007587";"Ředitel sekce ÚP";"12007590";"Oddělení vymáhací";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007848";"Oddělení vymáhací";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007846";"Oddělení majetkových daní";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007854";"Odbor kontrolní";"12007855";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007854";"Odbor kontrolní";"12007856";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007854";"Odbor kontrolní";"12010890";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12010889";"Odd.sekret.a provoz.zabezp.";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007847";"Oddělení registrační";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007849";"Odbor vyměřovací";"12007850";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007849";"Odbor vyměřovací";"12007851";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007849";"Odbor vyměřovací";"12007852";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007845";"Ředitel sekce ÚP";"12007849";"Odbor vyměřovací";"12007853";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007698";"Odd.sekret.a provoz.zabezp.";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007699";"Oddělení vymáhací";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007700";"Odbor registrační";"12007702";"Oddělení registrační II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007700";"Odbor registrační";"12007701";"Oddělení registrační I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007703";"Odbor vyměřovací I";"12007704";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007703";"Odbor vyměřovací I";"12007705";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007703";"Odbor vyměřovací I";"12007706";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007703";"Odbor vyměřovací I";"12007707";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007708";"Odbor vyměřovací II";"12007709";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007708";"Odbor vyměřovací II";"12007710";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007708";"Odbor vyměřovací II";"12007711";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007708";"Odbor vyměřovací II";"12007712";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007708";"Odbor vyměřovací II";"12007713";"Oddělení vyměřovací V";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007714";"Odbor kontrolní";"12007719";"Oddělení kontrolní V";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007714";"Odbor kontrolní";"12007718";"Oddělení kontrolní IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007714";"Odbor kontrolní";"12007717";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007714";"Odbor kontrolní";"12007716";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007714";"Odbor kontrolní";"12007715";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007721";"Odbor majetkových daní";"12007722";"Oddělení majetkových daní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007697";"Ředitel sekce ÚP";"12007721";"Odbor majetkových daní";"12007723";"Oddělení majetkových daní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007410";"Oddělení sekretariátu ředitele";NA;NA;NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12010885";"Odd.sekret.a provoz.zabezp.";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007733";"Odbor kontrolní";"12007734";"Oddělení kontrolní I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007733";"Odbor kontrolní";"12007735";"Oddělení kontrolní II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007733";"Odbor kontrolní";"12007736";"Oddělení kontrolní III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007728";"Odbor vyměřovací";"12007732";"Oddělení vyměřovací IV";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007728";"Odbor vyměřovací";"12007731";"Oddělení vyměřovací III";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007728";"Odbor vyměřovací";"12007730";"Oddělení vyměřovací II";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007728";"Odbor vyměřovací";"12007729";"Oddělení vyměřovací I";NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007727";"Oddělení vymáhací";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007726";"Oddělení registrační";NA;NA;NA;NA;NA;NA;"0";"0"
"11001008";"Finanční úřad pro hlavní město Prahu";"12007724";"Ředitel sekce ÚP";"12007725";"Oddělení majetkových daní";NA;NA;NA;NA;NA;NA;"0";"0"
