"from";"to"
"stat";"11000002"
"12006481";"12006485"
"12006481";"12006484"
"12006481";"12006483"
"12006481";"12006482"
"12006486";"12011453"
"12006486";"12006488"
"12006486";"12006487"
"stat";"11000005"
"11000005";"12011721"
"11000005";"12011629"
"11000005";"12011627"
"11000005";"12010914"
"11000005";"12005897"
"11000005";"12005896"
"11000005";"12012143"
"11000005";"12012624"
"11000005";"12005862"
"12005862";"12005886"
"12005862";"12005887"
"12005897";"12005891"
"12005897";"12005898"
"12011627";"12011726"
"12011627";"12012622"
"12011629";"12005881"
"12011629";"12005914"
"12011629";"12012577"
"12011721";"12012623"
"12011721";"12011628"
"12011721";"12005877"
"12011721";"12005863"
"12011721";"12005861"
"12011721";"12005859"
"12011721";"12005858"
"12012143";"12011964"
"12012624";"12005869"
"12012624";"12005910"
"12012624";"12011722"
"12012624";"12011966"
"12005886";"12005907"
"12005887";"12005889"
"12005887";"12012053"
"12005887";"12005888"
"12005891";"12005908"
"12005881";"12005884"
"12005881";"12005883"
"12005881";"12005882"
"12005914";"12005899"
"12012577";"12005902"
"12012577";"12012578"
"12005859";"12005860"
"12005861";"12005906"
"12005863";"12005857"
"12005863";"12005864"
"12005863";"12005865"
"12005877";"12005904"
"12012623";"12011724"
"12005869";"12005870"
"12005869";"12005871"
"12005869";"12005875"
"12005869";"12005876"
"12005910";"12005911"
"12005910";"12005912"
"12011722";"12005901"
"12011722";"12011723"
"12011966";"12011967"
"stat";"11000006"
"11000006";"12003432"
"11000006";"12003440"
"11000006";"12003468"
"11000006";"12003402"
"11000006";"12003458"
"11000006";"12012061"
"11000006";"12003467"
"11000006";"12003461"
"11000006";"12011330"
"11000006";"12003493"
"11000006";"12003361"
"11000006";"12003389"
"11000006";"12003348"
"12003348";"12003349"
"12003348";"12003492"
"12003361";"12003352"
"12003361";"12012177"
"12003361";"12003364"
"12003389";"12012621"
"12003389";"12003399"
"12003402";"12003403"
"12003402";"12003408"
"12003402";"12011658"
"12003402";"12011657"
"12003402";"12010941"
"12003402";"12003430"
"12003402";"12011659"
"12003432";"12003433"
"12003432";"12003434"
"12003432";"12003439"
"12003432";"12011669"
"12003432";"12003436"
"12003440";"12003441"
"12003440";"12003442"
"12003440";"12003444"
"12003440";"12003457"
"12003440";"12012180"
"12003440";"12012596"
"12003458";"12011674"
"12003458";"12011673"
"12003458";"12003376"
"12003458";"12003370"
"12003458";"12003369"
"12003458";"12003367"
"12003461";"12003466"
"12003461";"12003465"
"12003461";"12003463"
"12003461";"12003462"
"12003467";"12011337"
"12003467";"12011682"
"12003468";"12003488"
"12003468";"12003489"
"12003493";"12003527"
"12003493";"12003494"
"12003493";"12003495"
"12003493";"12003497"
"12011330";"12011654"
"12011330";"12011655"
"12011330";"12011656"
"12011330";"12012388"
"12011330";"12010711"
"12012061";"12003498"
"12012061";"12011677"
"12012061";"12011652"
"12012061";"12003501"
"12012061";"12003388"
"12012061";"12003500"
"12003352";"12012178"
"12003352";"12012028"
"12003364";"12003375"
"12003364";"12003374"
"12003364";"12003373"
"12012177";"12012179"
"12012177";"12012030"
"12003403";"12011332"
"12003403";"12003411"
"12003403";"12003409"
"12003408";"12011653"
"12003408";"12003426"
"12003408";"12003425"
"12011657";"12011660"
"12011657";"12012063"
"12011657";"12011662"
"12011657";"12011661"
"12011658";"12011665"
"12011658";"12011664"
"12011658";"12011663"
"12011659";"12011666"
"12011659";"12011667"
"12011659";"12011668"
"12003441";"12012064"
"12003441";"12011671"
"12003441";"12003446"
"12003442";"12012065"
"12003442";"12012066"
"12003444";"12003452"
"12003444";"12003453"
"12012180";"12012202"
"12012180";"12012201"
"12003462";"12003469"
"12003462";"12003470"
"12003462";"12003471"
"12003463";"12003472"
"12003463";"12003475"
"12003463";"12011678"
"12003463";"12012297"
"12003463";"12012298"
"12003465";"12003478"
"12003465";"12003479"
"12003466";"12011679"
"12003466";"12003485"
"12003466";"12003484"
"12003466";"12003483"
"12003466";"12003482"
"12003494";"12003502"
"12003494";"12003504"
"12003494";"12003505"
"12003494";"12012299"
"12003495";"12003506"
"12003495";"12003507"
"12003495";"12011681"
"12003497";"12003510"
"12003497";"12003511"
"12003497";"12003512"
"12003388";"12003395"
"12003388";"12003396"
"12003388";"12003397"
"12003498";"12003515"
"12003498";"12003514"
"12003498";"12003513"
"12003500";"12003519"
"12003500";"12003522"
"12003500";"12012027"
"12003501";"12003523"
"12003501";"12003524"
"12003501";"12003526"
